order_id,customer_id,order_placed_timestamp,order_promised_minutes,order_delivery_time_minutes,dark_store_id,delivery_partner_id,total_amount,payment_type,order_status
61,97,2024-10-05 04:49:00,10,8,48,70,1903.87,cod,delivered
62,153,2024-07-04 07:39:00,10,19,47,98,699.37,cod,delivered
63,488,2024-04-08 12:09:00,10,11,26,154,2363.44,prepaid,delivered
64,165,2024-12-06 05:59:00,10,7,27,97,2108.19,cod,delivered
65,279,2024-02-25 03:02:00,10,5,32,56,1732.7,prepaid,delivered
66,442,2024-11-05 12:50:00,15,23,16,187,518.58,cod,delivered
67,338,2024-07-12 17:12:00,10,16,49,41,1572.67,cod,delivered
68,38,2024-10-10 12:26:00,20,17,20,178,1511.59,prepaid,delivered
69,217,2024-01-10 05:46:00,10,3,24,186,1600.33,cod,delivered
70,150,2024-11-23 15:44:00,10,3,20,41,1779.55,cod,delivered
71,376,2024-08-26 15:04:00,15,15,22,79,2167.45,prepaid,delivered
72,262,2024-07-04 01:32:00,15,8,22,21,651.97,cod,delivered
73,382,2024-09-08 09:34:00,10,8,20,5,3020.38,prepaid,delivered
74,121,2024-06-22 18:53:00,10,3,4,159,1066.12,cod,delivered
75,134,2024-03-09 06:03:00,10,14,33,60,2258.17,cod,delivered
76,18,2024-11-09 19:34:00,10,3,31,45,638.81,cod,delivered
77,235,2024-09-18 23:28:00,20,22,50,55,2052.19,cod,delivered
78,36,2024-11-12 00:48:00,10,12,43,172,3712.46,prepaid,delivered
79,424,2024-07-28 08:51:00,10,15,20,20,1702.21,cod,delivered
80,286,2024-10-15 00:11:00,15,34,46,99,3562.85,prepaid,delivered
81,391,2024-11-15 20:20:00,15,18,47,34,1026.2,cod,delivered
82,81,2024-04-14 15:19:00,10,3,47,168,1500.68,cod,delivered
83,350,2024-02-21 15:24:00,10,19,8,119,1193.23,cod,delivered
84,402,2024-05-17 18:03:00,10,5,18,136,1195.55,prepaid,delivered
85,383,2024-07-13 19:36:00,15,9,47,31,1267.64,cod,delivered
86,15,2024-02-02 11:47:00,15,7,33,24,1057.51,cod,delivered
87,133,2024-08-11 10:21:00,10,10,37,9,888.94,cod,delivered
88,1,2024-03-21 13:45:00,10,24,26,151,471.5,cod,delivered
89,312,2024-11-06 18:52:00,10,3,37,5,1448.9,prepaid,delivered
90,319,2024-04-19 08:53:00,10,3,35,188,3171.63,prepaid,delivered
91,112,2024-08-14 21:11:00,10,21,39,146,176.49,prepaid,delivered
92,421,2024-06-18 22:31:00,10,10,17,161,2024.98,cod,delivered
93,498,2024-05-06 12:54:00,15,19,28,29,2234.99,prepaid,delivered
94,178,2024-05-22 20:34:00,20,15,25,15,1780.67,prepaid,delivered
95,454,2024-07-24 12:15:00,10,12,29,55,1379.2,cod,delivered
96,91,2024-02-16 16:08:00,15,16,15,85,410.98,prepaid,cancelled
97,247,2024-06-24 07:42:00,10,12,24,12,2331.69,cod,delivered
98,223,2024-06-20 06:41:00,10,16,20,5,414.76,prepaid,delivered
99,130,2024-11-29 12:29:00,10,19,4,68,968.45,prepaid,delivered
100,425,2024-11-06 14:13:00,10,12,12,125,1241.66,prepaid,delivered
101,54,2024-07-16 14:30:00,10,3,13,164,3416.59,cod,delivered
102,183,2024-07-26 22:58:00,10,10,46,17,813.57,cod,delivered
103,400,2024-06-27 06:59:00,10,3,9,198,1747.27,cod,delivered
104,120,2024-05-11 12:11:00,20,15,48,166,451.12,cod,delivered
105,289,2024-07-18 12:22:00,10,8,4,46,2507.87,cod,delivered
106,480,2024-02-05 17:38:00,10,3,27,116,885.94,prepaid,delivered
107,237,2024-12-15 16:14:00,10,14,37,180,435.89,prepaid,delivered
108,21,2024-11-11 05:25:00,15,10,21,85,1261.64,prepaid,delivered
109,369,2024-01-20 20:34:00,15,14,40,39,975.95,cod,delivered
110,282,2024-11-13 02:48:00,10,20,25,79,2273.59,cod,delivered
111,134,2024-08-17 08:16:00,20,23,40,80,2821.93,prepaid,delivered
112,404,2024-02-15 07:51:00,15,11,5,146,2157.61,prepaid,delivered
113,339,2024-02-13 10:49:00,10,20,6,66,270.9,cod,delivered
114,36,2024-07-07 18:46:00,15,20,48,83,335.17,cod,delivered
115,208,2024-06-25 17:15:00,10,4,8,81,1185.2,prepaid,delivered
116,395,2024-02-07 18:00:00,10,11,47,137,1148.9,prepaid,delivered
117,57,2024-02-20 03:33:00,10,10,34,68,480.45,cod,delivered
118,22,2024-02-18 13:19:00,10,16,32,105,200.18,prepaid,delivered
119,276,2024-06-27 16:28:00,10,5,44,44,1346.99,prepaid,delivered
120,112,2024-09-27 09:56:00,15,19,6,20,653.12,cod,delivered
121,219,2024-04-07 07:19:00,15,15,21,191,2000.97,prepaid,delivered
122,205,2024-11-30 06:33:00,10,3,8,149,1279.16,prepaid,delivered
123,435,2024-07-08 23:47:00,10,3,45,71,953.55,cod,delivered
124,294,2024-12-14 04:22:00,20,3,26,167,2282.09,prepaid,delivered
125,274,2024-08-13 18:14:00,10,10,8,127,896.45,cod,delivered
126,338,2024-10-01 21:40:00,10,15,27,152,1800.37,cod,delivered
127,238,2024-01-03 14:48:00,20,16,20,94,1530.37,prepaid,delivered
128,171,2024-06-15 14:15:00,10,13,20,64,2369.71,prepaid,delivered
129,396,2024-03-06 12:02:00,20,26,45,165,883.66,cod,delivered
130,311,2024-11-04 05:18:00,10,8,25,73,1775.53,prepaid,delivered
131,202,2024-01-02 19:08:00,10,9,17,182,193.0,cod,delivered
132,498,2024-04-30 09:51:00,10,10,46,62,951.94,cod,delivered
133,313,2024-03-07 03:38:00,15,19,49,178,529.65,cod,delivered
134,387,2024-10-05 06:33:00,10,11,24,154,966.16,prepaid,delivered
135,486,2024-04-12 22:58:00,10,9,50,100,1766.37,prepaid,delivered
136,57,2024-05-02 21:22:00,10,11,47,90,2795.0,prepaid,delivered
137,326,2024-04-04 19:16:00,10,12,50,148,988.62,prepaid,delivered
138,334,2024-07-10 08:20:00,10,9,38,95,855.57,cod,delivered
139,414,2024-05-12 13:45:00,20,28,42,121,984.76,cod,delivered
140,451,2024-11-17 15:03:00,10,8,4,128,897.97,prepaid,delivered
141,396,2024-06-14 16:31:00,15,17,31,14,3862.51,cod,delivered
142,159,2024-11-13 18:37:00,15,6,21,120,1196.21,cod,delivered
143,392,2024-12-01 17:01:00,10,7,40,192,1615.82,prepaid,delivered
144,138,2024-08-29 10:37:00,15,22,16,131,3486.8,cod,delivered
145,440,2024-08-10 00:32:00,15,21,3,185,1741.91,cod,delivered
146,476,2024-09-19 08:30:00,10,3,34,149,2189.03,cod,delivered
147,138,2024-08-07 13:07:00,15,14,10,6,2078.38,prepaid,delivered
148,266,2024-05-26 04:02:00,10,4,25,43,1104.3,cod,delivered
149,412,2024-11-04 13:43:00,15,28,24,65,2033.56,cod,delivered
150,447,2024-08-25 14:50:00,10,12,45,143,166.6,prepaid,delivered
151,82,2024-10-26 05:54:00,10,11,14,81,249.58,cod,delivered
152,454,2024-07-04 01:09:00,15,15,29,53,1364.46,prepaid,delivered
153,328,2024-11-10 05:57:00,10,7,26,93,2419.39,cod,delivered
154,203,2024-02-07 00:34:00,15,13,23,39,4049.53,prepaid,delivered
155,436,2024-09-27 21:32:00,10,9,39,3,330.17,prepaid,delivered
156,156,2024-12-12 05:45:00,10,8,20,47,1567.61,prepaid,delivered
157,114,2024-03-19 14:29:00,10,14,39,11,2867.3,prepaid,delivered
158,345,2024-01-02 08:46:00,15,12,42,66,1379.5,cod,delivered
159,231,2024-07-12 02:39:00,10,12,25,91,113.28,cod,delivered
160,354,2024-11-19 03:45:00,10,11,35,66,1174.6,prepaid,delivered
161,446,2024-03-14 11:19:00,15,8,3,183,1735.84,cod,delivered
162,426,2024-01-23 04:59:00,10,10,37,95,3258.2,prepaid,delivered
163,59,2024-11-11 06:19:00,15,7,32,117,1085.69,prepaid,delivered
164,420,2024-05-02 07:40:00,10,16,20,142,3185.82,cod,delivered
165,202,2024-06-04 21:45:00,10,9,17,78,1163.22,prepaid,delivered
166,295,2024-01-17 20:30:00,10,8,45,198,176.49,cod,delivered
167,359,2024-02-08 22:14:00,10,17,16,107,110.58,cod,delivered
168,229,2024-03-21 23:57:00,10,5,26,17,2697.87,prepaid,delivered
169,219,2024-08-06 02:09:00,10,7,16,87,1746.28,cod,delivered
170,430,2024-07-19 10:31:00,10,7,42,61,2257.64,cod,delivered
171,295,2024-08-18 16:42:00,15,17,50,124,2629.06,prepaid,delivered
172,275,2024-02-02 07:30:00,10,21,9,62,719.01,prepaid,delivered
173,146,2024-08-30 00:53:00,10,6,6,89,2392.06,cod,delivered
174,63,2024-02-20 20:26:00,10,7,14,178,2447.08,prepaid,delivered
175,23,2024-02-11 20:36:00,10,8,30,140,38.87,prepaid,delivered
176,241,2024-05-15 01:55:00,15,20,45,140,2104.3,cod,delivered
177,298,2024-12-14 23:27:00,20,18,6,124,555.4,cod,delivered
178,344,2024-09-18 07:30:00,20,15,25,166,748.66,prepaid,delivered
179,177,2024-07-13 19:58:00,10,16,37,31,1529.99,prepaid,delivered
180,409,2024-06-19 15:59:00,10,12,47,124,1819.19,prepaid,delivered
181,430,2024-01-05 20:05:00,20,13,42,29,519.86,cod,delivered
182,445,2024-01-11 23:07:00,15,12,48,80,1004.58,prepaid,delivered
183,104,2024-03-11 21:19:00,15,17,43,157,1590.67,prepaid,delivered
184,497,2024-08-25 03:14:00,15,17,31,115,753.96,cod,delivered
185,224,2024-08-29 00:06:00,15,15,50,118,2214.64,cod,delivered
186,72,2024-09-27 17:47:00,20,15,44,182,1759.73,prepaid,delivered
187,223,2024-11-16 02:44:00,20,12,20,90,3922.44,cod,delivered
188,208,2024-05-23 03:36:00,10,3,21,172,1619.54,cod,delivered
189,272,2024-10-26 16:15:00,10,11,42,1,1974.63,cod,delivered
190,76,2024-09-02 02:00:00,10,21,29,30,1334.02,prepaid,delivered
191,208,2024-04-18 01:28:00,10,3,16,148,1330.08,cod,delivered
192,348,2024-10-08 00:41:00,15,6,39,145,2157.91,prepaid,delivered
193,315,2024-08-27 19:24:00,10,6,7,33,1249.44,prepaid,delivered
194,363,2024-05-15 23:19:00,10,8,24,128,1612.8,cod,delivered
195,421,2024-07-21 04:19:00,10,13,11,162,3098.18,cod,delivered
196,116,2024-07-05 17:11:00,20,22,39,33,972.53,cod,delivered
197,124,2024-10-15 17:57:00,10,14,1,94,553.52,cod,delivered
198,490,2024-10-23 03:53:00,15,19,13,107,1516.37,prepaid,delivered
199,401,2024-10-12 18:55:00,15,22,25,32,968.01,prepaid,delivered
200,214,2024-07-25 20:06:00,20,27,42,48,1254.58,cod,delivered
201,371,2024-03-10 00:15:00,10,5,16,74,2154.36,cod,delivered
202,320,2024-11-13 13:39:00,15,14,3,28,432.53,cod,delivered
203,331,2024-07-22 10:16:00,10,9,8,157,1882.37,cod,delivered
204,254,2024-06-08 18:47:00,10,12,4,1,970.12,cod,delivered
205,153,2024-06-14 19:18:00,15,12,24,133,1542.83,prepaid,delivered
206,446,2024-09-22 06:29:00,10,8,11,102,580.47,cod,delivered
207,86,2024-03-22 21:26:00,10,8,2,107,1423.16,prepaid,delivered
208,484,2024-04-25 02:20:00,10,14,20,99,1154.6,cod,delivered
209,80,2024-09-30 09:59:00,20,17,14,198,1294.52,prepaid,delivered
210,135,2024-10-28 13:36:00,10,11,21,178,2022.94,cod,delivered
211,25,2024-03-01 04:44:00,15,8,47,68,1344.4,prepaid,delivered
212,245,2024-12-27 18:51:00,10,7,20,189,762.8,prepaid,delivered
213,108,2024-07-20 14:22:00,10,8,20,129,1130.1,prepaid,delivered
214,336,2024-10-17 07:33:00,10,10,24,139,3794.42,prepaid,delivered
215,490,2024-10-21 03:27:00,10,16,11,21,103.58,prepaid,delivered
216,296,2024-03-03 11:33:00,20,23,29,148,263.0,cod,delivered
217,206,2024-05-13 12:14:00,10,11,26,37,2288.16,prepaid,delivered
218,437,2024-09-21 06:04:00,10,13,23,5,952.7,cod,delivered
219,375,2024-09-30 17:29:00,10,12,10,143,600.0,cod,delivered
220,255,2024-07-03 21:32:00,10,9,14,147,779.15,prepaid,delivered
221,297,2024-11-02 10:19:00,10,9,18,130,432.53,prepaid,delivered
222,326,2024-01-25 05:02:00,10,3,44,24,1869.76,prepaid,delivered
223,257,2024-07-14 04:40:00,15,26,45,128,564.03,cod,delivered
224,372,2024-03-15 03:36:00,15,3,9,104,877.92,prepaid,delivered
225,346,2024-01-01 19:17:00,10,21,48,187,314.65,prepaid,delivered
226,247,2024-06-07 19:09:00,10,12,37,91,1299.6,prepaid,delivered
227,63,2024-09-07 10:43:00,10,3,35,6,623.88,prepaid,delivered
228,283,2024-10-27 11:46:00,10,3,38,134,794.38,cod,delivered
229,464,2024-11-22 09:30:00,15,11,37,73,942.16,prepaid,delivered
230,152,2024-11-02 06:47:00,15,19,34,52,719.01,prepaid,delivered
231,334,2024-10-13 11:18:00,10,3,22,193,2372.16,prepaid,delivered
232,83,2024-02-27 08:07:00,15,15,35,135,582.55,cod,cancelled
233,489,2024-08-21 17:35:00,15,15,49,21,1465.61,prepaid,delivered
234,250,2024-06-28 05:02:00,10,10,9,168,2831.99,cod,delivered
235,162,2024-10-25 13:20:00,15,6,9,119,1421.15,prepaid,delivered
236,396,2024-02-06 07:08:00,15,12,50,179,1837.2,prepaid,delivered
237,447,2024-09-06 23:04:00,10,3,50,158,1643.28,cod,delivered
238,193,2024-05-07 18:22:00,10,7,7,38,1662.09,cod,delivered
239,478,2024-05-12 16:57:00,15,6,45,40,3066.34,cod,delivered
240,445,2024-07-23 19:54:00,10,5,2,77,1447.23,prepaid,delivered
241,212,2024-07-10 07:07:00,15,17,6,162,2124.3,cod,delivered
242,228,2024-11-03 01:52:00,10,9,15,188,2366.57,cod,delivered
243,161,2024-05-16 10:37:00,10,15,15,183,864.79,cod,delivered
244,428,2024-02-25 18:32:00,15,23,25,92,2369.84,prepaid,delivered
245,421,2024-05-16 17:41:00,15,5,35,77,220.45,cod,delivered
246,64,2024-03-15 23:03:00,10,8,7,52,1507.22,prepaid,delivered
247,204,2024-04-13 12:10:00,10,13,4,61,1961.49,prepaid,delivered
248,83,2024-04-27 16:04:00,15,25,35,10,2108.9,cod,delivered
249,483,2024-02-27 09:12:00,10,8,19,99,221.45,cod,delivered
250,100,2024-07-09 04:49:00,10,13,18,192,2446.21,cod,delivered
251,65,2024-07-10 20:54:00,10,20,1,51,1210.95,cod,delivered
252,390,2024-09-13 03:12:00,10,3,28,166,519.86,prepaid,delivered
253,145,2024-05-02 19:31:00,10,7,39,103,310.82,prepaid,delivered
254,487,2024-05-17 05:58:00,15,10,50,163,1183.32,cod,delivered
255,61,2024-04-06 06:16:00,10,9,18,103,531.63,cod,delivered
256,313,2024-11-27 15:07:00,10,9,19,156,895.84,cod,delivered
257,36,2024-10-26 13:13:00,10,14,2,107,1712.59,prepaid,delivered
258,132,2024-09-28 03:34:00,10,8,6,40,652.47,prepaid,delivered
259,278,2024-09-27 07:24:00,15,20,11,58,2199.34,cod,delivered
260,400,2024-06-01 22:29:00,10,9,6,108,196.96,cod,delivered
261,293,2024-03-22 14:06:00,20,23,3,109,3637.58,cod,delivered
262,129,2024-12-23 07:30:00,15,15,19,155,720.82,prepaid,delivered
263,263,2024-05-25 16:03:00,10,3,2,18,1101.17,prepaid,delivered
264,326,2024-06-24 18:22:00,10,21,26,115,585.75,prepaid,delivered
265,354,2024-01-31 22:02:00,20,25,13,45,1470.24,prepaid,delivered
266,204,2024-12-25 23:11:00,10,9,8,141,943.1,cod,delivered
267,463,2024-09-04 04:33:00,10,11,15,49,1966.69,prepaid,delivered
268,223,2024-08-16 21:26:00,20,21,25,42,415.56,prepaid,delivered
269,272,2024-07-03 21:26:00,10,7,32,147,1683.24,cod,delivered
270,95,2024-03-19 16:20:00,10,13,26,104,772.1,cod,delivered
271,318,2024-12-05 10:01:00,10,9,33,8,1296.49,cod,delivered
272,410,2024-09-16 16:32:00,20,21,6,97,1962.55,prepaid,delivered
273,29,2024-10-13 06:59:00,15,17,3,25,1726.92,prepaid,delivered
274,66,2024-09-27 13:41:00,10,11,41,136,574.77,prepaid,delivered
275,107,2024-01-26 05:41:00,10,5,29,7,703.85,cod,delivered
276,216,2024-10-26 15:20:00,10,3,16,112,531.75,cod,delivered
277,188,2024-06-25 11:52:00,10,5,12,184,365.85,cod,delivered
278,151,2024-01-31 09:46:00,15,12,32,81,1639.96,cod,delivered
279,355,2024-04-27 04:28:00,10,6,39,139,1747.76,cod,delivered
280,392,2024-01-26 17:14:00,10,9,22,140,2007.61,cod,delivered
281,148,2024-06-20 13:38:00,15,15,19,156,3482.51,prepaid,delivered
282,120,2024-07-04 17:48:00,15,19,23,39,1665.58,cod,delivered
283,359,2024-02-22 15:44:00,15,18,16,82,1336.86,prepaid,delivered
284,392,2024-07-27 09:27:00,10,3,40,147,1848.59,prepaid,delivered
285,151,2024-06-09 03:27:00,10,3,42,196,720.82,cod,delivered
286,490,2024-11-21 00:05:00,15,6,13,194,696.91,cod,delivered
287,374,2024-07-11 17:25:00,10,5,6,135,1248.13,cod,delivered
288,167,2024-07-20 02:23:00,10,16,14,187,418.29,cod,delivered
289,413,2024-04-08 10:53:00,10,9,39,45,3269.77,prepaid,delivered
290,307,2024-10-26 10:45:00,10,4,2,132,644.9,cod,delivered
291,65,2024-01-12 05:02:00,10,10,49,190,128.5,cod,delivered
292,329,2024-01-31 04:42:00,10,5,49,145,611.01,prepaid,delivered
293,88,2024-02-14 22:01:00,20,18,32,106,110.58,cod,delivered
294,476,2024-04-17 00:32:00,10,14,47,107,763.83,prepaid,delivered
295,464,2024-04-28 16:59:00,15,17,47,193,2517.84,prepaid,delivered
296,480,2024-01-04 08:00:00,10,3,27,133,345.26,prepaid,delivered
297,25,2024-07-09 09:13:00,15,15,7,126,4682.7,cod,delivered
298,6,2024-09-15 11:44:00,10,12,44,125,4118.14,prepaid,delivered
299,215,2024-09-23 23:19:00,15,24,45,57,2116.74,cod,delivered
300,305,2024-11-15 10:45:00,15,11,7,158,628.63,prepaid,delivered
301,36,2024-04-14 11:46:00,10,10,2,42,1992.6,prepaid,delivered
302,325,2024-03-21 18:46:00,10,10,42,173,1192.38,cod,delivered
303,261,2024-11-22 06:19:00,10,4,25,197,3213.11,prepaid,delivered
304,291,2024-01-24 08:40:00,10,3,38,59,653.2,prepaid,delivered
305,295,2024-03-14 01:40:00,10,3,44,118,1707.55,cod,delivered
306,169,2024-06-30 06:08:00,10,8,10,24,1079.58,cod,delivered
307,124,2024-08-15 08:37:00,15,13,19,134,773.02,cod,delivered
308,248,2024-03-03 02:15:00,15,24,20,50,1111.37,prepaid,delivered
309,64,2024-03-28 04:42:00,15,11,47,138,653.16,cod,delivered
310,493,2024-11-17 21:07:00,10,9,24,162,773.6,prepaid,cancelled
311,287,2024-07-06 22:56:00,15,16,39,150,1578.73,prepaid,delivered
312,16,2024-01-15 04:34:00,10,8,40,53,1850.88,cod,delivered
313,280,2024-04-21 04:29:00,10,3,25,99,244.06,prepaid,delivered
314,209,2024-04-04 05:20:00,15,20,4,101,3238.55,cod,delivered
315,379,2024-05-25 13:35:00,10,3,24,186,263.0,prepaid,delivered
316,186,2024-01-17 09:19:00,10,3,31,2,2191.41,prepaid,delivered
317,252,2024-01-14 09:33:00,10,9,32,192,1290.05,prepaid,delivered
318,209,2024-02-11 08:32:00,10,5,21,107,4611.5,prepaid,delivered
319,404,2024-10-03 02:46:00,10,10,49,142,1138.49,cod,delivered
320,485,2024-12-09 04:47:00,20,14,11,52,166.6,cod,delivered
321,174,2024-09-22 13:15:00,10,9,37,155,3079.43,cod,delivered
322,455,2024-09-06 11:03:00,10,11,24,8,1903.88,cod,delivered
323,132,2024-09-25 14:47:00,15,13,6,17,2017.07,prepaid,delivered
324,345,2024-01-03 08:56:00,10,3,42,23,1745.74,cod,delivered
325,319,2024-09-13 23:50:00,20,22,11,26,1902.07,prepaid,delivered
326,152,2024-01-22 06:09:00,10,8,41,178,1520.09,prepaid,delivered
327,23,2024-01-09 03:59:00,15,15,2,118,3526.85,cod,delivered
328,299,2024-12-28 20:42:00,15,19,39,177,651.97,prepaid,delivered
329,320,2024-08-10 08:03:00,20,26,13,5,951.36,cod,delivered
330,155,2024-03-04 14:11:00,15,13,31,50,926.28,cod,delivered
331,480,2024-11-15 12:14:00,10,8,49,125,1558.71,prepaid,delivered
332,53,2024-07-16 00:44:00,10,9,50,109,558.77,prepaid,delivered
333,311,2024-03-10 06:25:00,10,10,25,3,1294.27,prepaid,delivered
334,31,2024-02-28 01:30:00,15,3,28,6,2653.92,cod,delivered
335,10,2024-06-26 16:14:00,10,8,18,52,1548.94,cod,delivered
336,395,2024-06-27 20:42:00,10,8,41,5,720.82,prepaid,delivered
337,313,2024-10-11 20:40:00,15,7,5,3,551.21,prepaid,delivered
338,23,2024-06-15 11:35:00,15,8,43,135,1502.59,prepaid,delivered
339,409,2024-03-06 12:20:00,10,10,34,128,1978.95,cod,delivered
340,302,2024-04-23 23:29:00,15,11,33,194,1076.08,prepaid,delivered
341,347,2024-03-31 07:53:00,15,14,7,154,613.56,cod,delivered
342,485,2024-02-11 23:53:00,10,8,12,45,2917.59,prepaid,delivered
343,5,2024-07-27 20:42:00,10,13,20,99,1941.08,cod,delivered
344,44,2024-09-10 04:59:00,10,8,15,63,80.54,cod,delivered
345,265,2024-12-19 16:44:00,10,3,26,82,936.3,prepaid,delivered
346,318,2024-07-13 07:18:00,15,11,28,9,1706.12,cod,delivered
347,316,2024-12-28 13:54:00,10,13,34,191,1430.38,prepaid,delivered
348,8,2024-02-01 01:15:00,10,8,38,102,1151.63,cod,delivered
349,359,2024-06-11 21:51:00,10,9,10,100,2528.02,cod,delivered
350,43,2024-02-24 03:06:00,10,3,39,181,1919.82,prepaid,delivered
351,37,2024-07-14 01:55:00,10,19,3,125,2076.7,cod,delivered
352,282,2024-06-19 05:24:00,15,10,20,94,687.18,cod,delivered
353,159,2024-03-03 15:51:00,10,11,10,199,1526.63,cod,delivered
354,370,2024-08-02 04:03:00,15,16,48,126,2297.72,prepaid,delivered
355,440,2024-03-03 13:22:00,10,13,3,184,776.34,cod,delivered
356,190,2024-04-16 10:05:00,20,26,50,181,2345.51,prepaid,delivered
357,424,2024-06-27 02:27:00,10,7,25,151,1689.65,prepaid,delivered
358,173,2024-10-06 17:47:00,15,17,4,55,2945.96,cod,delivered
359,350,2024-05-06 08:52:00,10,5,4,1,1671.86,cod,delivered
360,470,2024-02-01 02:14:00,20,20,49,190,612.94,cod,delivered
361,119,2024-09-22 02:29:00,10,15,28,163,794.38,prepaid,delivered
362,314,2024-12-12 13:13:00,10,12,24,90,2051.34,prepaid,delivered
363,21,2024-07-06 09:52:00,10,12,16,142,1577.79,cod,delivered
364,374,2024-11-26 05:21:00,15,7,9,48,349.31,prepaid,delivered
365,137,2024-10-30 15:41:00,10,18,28,37,4353.43,prepaid,delivered
366,59,2024-12-06 08:42:00,10,9,18,25,1614.45,prepaid,delivered
367,87,2024-10-08 04:15:00,10,3,47,150,150.75,prepaid,delivered
368,144,2024-12-28 14:40:00,10,4,21,171,238.03,cod,delivered
