order_item_id,order_id,product_id,add_to_cart_order,quantity,item_price
113,50,15,7,1,722.34
114,50,50,8,1,123.14
115,50,24,1,1,555.4
116,50,56,2,2,166.6
117,50,67,10,1,86.38
118,51,112,6,2,549.05
119,51,160,3,1,564.03
120,51,174,4,1,32.87
121,51,145,7,1,779.15
122,52,65,6,1,628.22
123,52,31,8,1,351.45
124,53,194,9,1,184.42
125,53,109,9,1,720.82
126,53,35,1,1,855.57
127,54,95,5,1,196.96
128,54,3,9,2,881.76
129,54,99,8,2,22.5
130,54,31,4,1,351.45
131,55,72,3,1,810.01
132,56,175,10,1,864.68
133,56,160,6,2,564.03
134,56,46,6,1,43.61
135,56,91,6,1,193.0
136,57,66,6,1,243.63
137,57,8,6,1,561.44
138,57,70,9,1,715.14
139,57,158,5,1,703.85
140,58,99,3,1,22.5
141,59,135,6,1,703.94
142,59,113,9,1,574.77
143,59,67,4,1,86.38
144,59,61,2,1,909.57
145,60,9,7,1,44.76
146,60,136,4,1,855.45
147,60,64,10,1,471.5
148,60,28,4,1,30.39
149,61,124,5,1,574.46
150,61,33,3,1,155.41
151,61,38,10,2,587.0
152,62,156,9,1,220.45
153,62,179,4,1,415.56
154,62,80,5,1,63.36
155,63,146,3,1,110.58
156,63,98,9,2,997.93
157,63,152,1,2,128.5
158,64,93,10,2,394.77
159,64,196,5,2,86.58
160,64,64,10,2,471.5
161,64,137,8,1,163.62
162,64,6,4,1,38.87
163,65,196,3,1,86.58
164,65,181,6,1,189.96
165,65,74,3,2,728.08
166,66,189,5,1,169.27
167,66,188,5,1,349.31
168,67,169,9,1,698.16
169,67,32,8,1,291.3
170,67,83,5,1,583.21
171,68,131,7,1,903.88
172,68,125,2,1,607.71
173,69,18,9,1,770.74
174,69,37,5,1,719.01
175,69,146,10,1,110.58
176,70,21,3,1,794.38
177,70,133,2,1,985.17
178,71,88,4,1,761.38
179,71,9,10,1,44.76
180,71,160,8,1,564.03
181,71,134,8,1,797.28
182,72,26,4,1,651.97
183,73,132,2,1,543.86
184,73,165,9,2,540.1
185,73,169,10,2,698.16
186,74,178,7,1,457.92
187,74,50,3,1,123.14
188,74,182,2,1,485.06
189,75,9,10,1,44.76
190,75,90,10,1,941.15
191,75,30,4,1,342.05
192,75,197,3,1,930.21
193,76,163,8,1,336.41
194,76,59,6,1,302.4
195,77,36,7,1,502.46
196,77,200,6,1,397.96
197,77,7,2,1,736.9
198,77,126,7,1,414.87
199,78,61,1,2,909.57
200,78,38,10,1,587.0
201,78,151,5,2,653.16
202,79,41,7,1,687.18
203,79,158,9,1,703.85
204,79,177,2,1,311.18
205,80,139,3,1,821.64
206,80,48,8,1,773.02
207,80,26,10,1,651.97
208,80,167,6,1,601.08
209,80,70,7,1,715.14
210,81,193,2,1,536.84
211,81,76,6,1,489.36
212,82,130,4,1,238.03
213,82,82,4,1,585.62
214,82,177,7,1,311.18
215,82,105,8,1,365.85
216,83,112,8,1,549.05
217,83,73,6,2,53.67
218,83,193,9,1,536.84
219,84,159,5,1,608.3
220,84,94,7,1,533.58
221,84,73,2,1,53.67
222,85,50,1,1,123.14
223,85,118,9,1,176.49
224,85,79,5,1,968.01
225,86,153,8,1,263.0
226,86,14,10,1,719.07
227,86,62,2,1,75.44
228,87,4,5,1,451.12
229,87,29,3,1,437.82
230,88,64,5,1,471.5
231,89,74,4,1,728.08
232,89,109,6,1,720.82
233,90,128,1,1,951.94
234,90,102,7,1,221.59
235,90,30,5,1,342.05
236,90,116,9,1,947.86
237,90,78,10,1,708.19
238,91,118,5,1,176.49
239,92,27,4,1,468.82
240,92,159,1,1,608.3
241,92,116,8,1,947.86
242,93,51,7,1,955.07
243,93,34,7,1,348.57
244,93,154,6,1,401.7
245,93,104,10,1,529.65
246,94,57,2,1,745.42
247,94,30,2,1,342.05
248,94,19,1,1,422.3
249,94,114,4,1,270.9
250,95,132,4,2,543.86
251,95,168,2,1,291.48
252,96,194,5,1,184.42
253,96,183,8,2,113.28
254,97,140,1,1,953.32
255,97,8,4,1,561.44
256,97,59,5,1,302.4
257,97,66,3,1,243.63
258,97,114,4,1,270.9
259,98,5,8,1,103.58
260,98,177,10,1,311.18
261,99,63,2,1,197.71
262,99,18,8,1,770.74
263,100,2,6,1,386.09
264,100,35,1,1,855.57
265,101,161,5,2,988.03
266,101,139,10,1,821.64
267,101,164,9,1,532.51
268,101,67,3,1,86.38
269,102,69,9,1,361.1
270,102,54,6,1,23.5
271,102,97,7,1,428.97
272,103,137,3,1,163.62
273,103,35,9,1,855.57
274,103,74,5,1,728.08
275,104,4,3,1,451.12
276,105,90,10,1,941.15
277,105,5,2,2,103.58
278,105,163,3,2,336.41
279,105,129,7,1,686.74
280,106,75,3,1,166.93
281,106,37,7,1,719.01
282,107,188,7,1,349.31
283,107,196,1,1,86.58
284,108,41,8,1,687.18
285,108,124,9,1,574.46
286,109,166,2,1,86.54
287,109,188,1,1,349.31
288,109,165,10,1,540.1
289,110,86,7,1,46.22
290,110,148,9,2,953.55
291,110,111,10,1,320.27
292,111,131,5,1,903.88
293,111,86,9,1,46.22
294,111,186,10,1,896.45
295,111,84,7,1,365.63
296,111,106,3,1,609.75
297,112,182,2,2,485.06
298,112,139,10,1,821.64
299,112,105,4,1,365.85
300,113,174,4,1,32.87
301,113,130,10,1,238.03
302,114,194,8,1,184.42
303,114,180,2,1,150.75
304,115,96,5,1,576.53
305,115,178,2,1,457.92
306,115,180,10,1,150.75
307,116,95,9,1,196.96
308,116,128,2,1,951.94
309,117,189,4,1,169.27
310,117,177,2,1,311.18
311,118,12,7,1,200.18
312,119,12,7,1,200.18
313,119,80,9,2,63.36
314,119,175,7,1,864.68
315,119,33,8,1,155.41
316,120,67,2,1,86.38
317,120,22,4,1,566.74
318,121,131,2,1,903.88
319,121,29,7,2,437.82
320,121,127,5,1,221.45
321,122,78,7,1,708.19
322,122,33,5,1,155.41
323,122,179,8,1,415.56
324,123,148,10,1,953.55
325,124,197,2,1,930.21
326,124,175,2,1,864.68
327,124,111,10,1,320.27
328,124,75,8,1,166.93
329,125,186,9,1,896.45
330,126,89,2,1,476.64
331,126,2,3,1,386.09
332,126,27,1,2,468.82
333,127,142,5,1,974.97
334,127,24,8,1,555.4
335,128,87,8,1,928.89
336,128,1,8,2,151.01
337,128,160,6,1,564.03
338,128,113,9,1,574.77
339,129,134,4,1,797.28
340,129,67,2,1,86.38
341,130,170,10,1,203.94
342,130,116,3,1,947.86
343,130,34,9,1,348.57
344,130,103,7,1,275.16
345,131,91,1,1,193.0
346,132,128,5,1,951.94
347,133,104,8,1,529.65
348,134,37,7,1,719.01
349,134,190,2,1,247.15
350,135,68,2,1,836.16
351,135,197,2,1,930.21
352,136,113,4,1,574.77
353,136,112,9,1,549.05
354,136,60,6,1,478.08
355,136,51,8,1,955.07
356,136,130,8,1,238.03
357,137,67,2,1,86.38
358,137,4,5,2,451.12
359,138,35,2,1,855.57
360,139,43,5,1,763.31
361,139,127,3,1,221.45
362,140,144,2,1,100.69
363,140,134,3,1,797.28
364,141,151,2,1,653.16
365,141,61,8,2,909.57
366,141,29,8,1,437.82
367,141,13,1,1,519.86
368,141,47,10,1,432.53
369,142,156,8,1,220.45
370,142,105,3,2,365.85
371,142,81,1,1,244.06
372,143,64,4,2,471.5
373,143,163,8,2,336.41
374,144,3,7,1,881.76
375,144,134,2,1,797.28
376,144,131,2,2,903.88
377,145,8,9,1,561.44
378,145,59,3,1,302.4
379,145,35,2,1,855.57
380,145,99,1,1,22.5
381,146,21,4,1,794.38
382,146,16,4,1,38.83
383,146,158,5,1,703.85
384,146,26,3,1,651.97
385,147,23,3,1,580.85
386,147,45,6,1,541.25
387,147,125,9,1,607.71
388,147,34,8,1,348.57
389,148,188,2,1,349.31
390,148,58,2,1,754.99
391,149,196,5,1,86.58
392,149,171,5,1,582.55
393,149,156,8,1,220.45
394,149,198,4,1,536.27
395,149,125,7,1,607.71
396,150,56,10,1,166.6
397,151,107,1,1,249.58
398,152,19,3,2,422.3
399,152,13,2,1,519.86
400,153,19,6,1,422.3
401,153,186,2,1,896.45
402,153,126,9,2,414.87
403,153,114,3,1,270.9
404,154,87,1,2,928.89
405,154,191,7,2,333.59
406,154,57,4,1,745.42
407,154,145,1,1,779.15
408,155,32,6,1,291.3
409,155,6,6,1,38.87
410,156,153,8,1,263.0
411,156,74,4,1,728.08
412,156,96,6,1,576.53
413,157,24,9,1,555.4
414,157,153,8,1,263.0
415,157,197,3,1,930.21
416,157,137,8,1,163.62
417,157,51,10,1,955.07
418,158,14,7,1,719.07
419,158,143,4,1,358.03
420,158,59,7,1,302.4
421,159,183,3,1,113.28
422,160,179,4,1,415.56
423,160,171,2,1,582.55
424,160,118,2,1,176.49
425,161,43,7,1,763.31
426,161,192,5,1,972.53
427,162,50,2,1,123.14
428,162,197,9,2,930.21
429,162,120,8,1,856.35
430,162,162,7,1,418.29
431,163,71,4,1,23.43
432,163,82,5,1,585.62
433,163,89,8,1,476.64
434,164,165,6,2,540.1
435,164,159,1,1,608.3
436,164,108,3,2,748.66
437,165,194,8,2,184.42
438,165,21,1,1,794.38
439,166,118,9,1,176.49
440,167,146,2,1,110.58
441,168,133,6,1,985.17
442,168,120,3,2,856.35
443,169,190,4,2,247.15
444,169,70,2,1,715.14
445,169,193,1,1,536.84
446,170,52,3,1,849.76
447,170,135,6,2,703.94
448,171,68,8,1,836.16
449,171,186,9,2,896.45
450,172,37,7,1,719.01
451,173,110,8,1,512.42
452,173,185,4,2,928.57
453,173,99,4,1,22.5
454,174,44,6,1,558.26
455,174,81,5,1,244.06
456,174,145,4,2,779.15
457,174,172,4,2,43.23
458,175,6,3,1,38.87
459,176,44,8,1,558.26
460,176,48,2,2,773.02
461,177,24,9,1,555.4
462,178,108,9,1,748.66
463,179,23,5,1,580.85
464,179,25,8,1,949.14
465,180,159,6,1,608.3
466,180,47,1,1,432.53
467,180,4,7,1,451.12
468,180,137,5,2,163.62
469,181,13,3,1,519.86
470,182,11,6,1,254.0
471,182,74,9,1,728.08
472,182,99,2,1,22.5
473,183,131,8,1,903.88
474,183,83,7,1,583.21
475,183,5,7,1,103.58
476,184,164,5,1,532.51
477,184,127,7,1,221.45
478,185,4,2,1,451.12
479,185,3,4,2,881.76
480,186,68,6,1,836.16
481,186,95,2,2,196.96
482,186,104,10,1,529.65
483,187,169,1,1,698.16
484,187,128,9,2,951.94
485,187,145,1,1,779.15
486,187,45,4,1,541.25
487,188,55,8,2,809.77
488,189,142,8,1,974.97
489,189,180,7,2,150.75
490,189,169,8,1,698.16
491,190,38,4,1,587.0
492,190,16,7,1,38.83
493,190,78,7,1,708.19
494,191,54,5,1,23.5
495,191,176,8,2,278.96
496,191,108,4,1,748.66
497,192,120,3,1,856.35
498,192,171,3,1,582.55
499,192,37,9,1,719.01
500,193,78,2,1,708.19
501,193,45,1,1,541.25
502,194,123,7,1,402.2
503,194,76,7,1,489.36
504,194,13,9,1,519.86
505,194,144,8,2,100.69
506,195,114,5,1,270.9
507,195,8,7,1,561.44
508,195,157,3,2,513.34
509,195,116,1,1,947.86
510,195,32,7,1,291.3
511,196,192,2,1,972.53
512,197,60,7,1,478.08
513,197,62,9,1,75.44
514,198,173,2,1,180.34
515,198,172,1,1,43.23
516,198,192,6,1,972.53
517,198,111,7,1,320.27
518,199,79,8,1,968.01
519,200,165,3,1,540.1
520,200,117,4,1,312.78
521,200,154,10,1,401.7
522,201,11,8,1,254.0
523,201,82,2,2,585.62
524,201,81,3,1,244.06
525,201,182,8,1,485.06
526,202,47,2,1,432.53
527,203,56,2,2,166.6
528,203,17,9,1,597.23
529,203,128,3,1,951.94
530,204,182,5,2,485.06
531,205,189,1,1,169.27
532,205,179,8,1,415.56
533,205,21,6,1,794.38
534,205,137,9,1,163.62
535,206,81,7,1,244.06
536,206,163,1,1,336.41
537,207,38,10,1,587.0
538,207,68,1,1,836.16
539,208,179,1,1,415.56
540,208,168,9,1,291.48
541,208,172,7,2,43.23
542,208,69,7,1,361.1
543,209,181,4,1,189.96
544,209,170,8,1,203.94
545,209,182,4,1,485.06
546,209,179,1,1,415.56
547,210,125,4,2,607.71
548,210,5,6,1,103.58
549,210,135,3,1,703.94
550,211,101,5,2,672.2
551,212,64,1,1,471.5
552,212,32,1,1,291.3
553,213,50,3,2,123.14
554,213,174,6,1,32.87
555,213,134,6,1,797.28
556,213,73,5,1,53.67
557,214,98,1,1,997.93
558,214,14,1,1,719.07
559,214,135,6,1,703.94
560,214,129,4,2,686.74
561,215,5,4,1,103.58
562,216,153,4,1,263.0
563,217,118,3,1,176.49
564,217,71,6,1,23.43
565,217,181,6,1,189.96
566,217,25,2,2,949.14
567,218,58,7,1,754.99
568,218,63,2,1,197.71
569,219,46,8,1,43.61
570,219,28,3,1,30.39
571,219,153,5,2,263.0
572,220,145,7,1,779.15
573,221,47,5,1,432.53
574,222,151,4,1,653.16
575,222,159,8,2,608.3
576,223,160,4,1,564.03
577,224,177,4,1,311.18
578,224,22,5,1,566.74
579,225,100,3,1,291.15
580,225,54,9,1,23.5
581,226,181,1,1,189.96
582,226,28,8,1,30.39
583,226,149,8,1,451.03
584,226,65,6,1,628.22
585,227,114,6,1,270.9
586,227,118,9,2,176.49
587,228,21,3,1,794.38
588,229,13,5,1,519.86
589,229,19,8,1,422.3
590,230,37,10,1,719.01
591,231,51,10,1,955.07
592,231,162,8,1,418.29
593,231,71,2,2,23.43
594,231,128,8,1,951.94
595,232,171,2,1,582.55
596,233,33,6,1,155.41
597,233,126,5,1,414.87
598,233,117,9,1,312.78
599,233,171,3,1,582.55
600,234,21,8,1,794.38
601,234,155,4,1,765.69
602,234,29,10,1,437.82
603,234,109,8,1,720.82
604,234,183,5,1,113.28
605,235,149,2,1,451.03
606,235,182,2,2,485.06
607,236,66,6,1,243.63
608,236,70,10,1,715.14
609,236,166,3,1,86.54
610,236,172,9,1,43.23
611,236,108,7,1,748.66
612,237,139,6,2,821.64
613,238,109,6,2,720.82
614,238,156,3,1,220.45
615,239,24,2,1,555.4
616,239,87,10,2,928.89
617,239,151,2,1,653.16
618,240,171,10,1,582.55
619,240,175,5,1,864.68
620,241,55,2,1,809.77
621,241,118,3,1,176.49
622,241,147,10,1,418.97
623,241,14,3,1,719.07
624,242,160,10,1,564.03
625,242,165,7,2,540.1
626,242,15,10,1,722.34
627,243,31,2,1,351.45
628,243,157,2,1,513.34
629,244,14,7,1,719.07
630,244,195,9,2,63.42
631,244,193,2,1,536.84
632,244,115,10,1,987.09
633,245,156,3,1,220.45
634,246,66,6,2,243.63
635,246,115,4,1,987.09
636,246,174,5,1,32.87
637,247,175,3,1,864.68
638,247,197,5,1,930.21
639,247,56,5,1,166.6
640,248,76,2,1,489.36
641,248,55,2,2,809.77
642,249,127,6,1,221.45
643,250,90,8,1,941.15
644,250,180,4,1,150.75
645,250,21,2,1,794.38
646,250,190,1,1,247.15
647,250,117,4,1,312.78
648,251,160,9,1,564.03
649,251,46,8,1,43.61
650,251,11,5,1,254.0
651,251,188,1,1,349.31
652,252,13,1,1,519.86
653,253,33,3,2,155.41
654,254,154,4,2,401.7
655,254,181,3,2,189.96
656,255,177,7,1,311.18
657,255,156,9,1,220.45
658,256,35,9,1,855.57
659,256,119,9,1,40.27
660,257,115,8,1,987.09
661,257,11,5,1,254.0
662,257,64,8,1,471.5
663,258,125,8,1,607.71
664,258,9,3,1,44.76
665,259,34,1,2,348.57
666,259,111,6,1,320.27
667,259,158,3,1,703.85
668,259,60,4,1,478.08
669,260,95,4,1,196.96
670,261,106,2,2,609.75
671,261,193,7,2,536.84
672,261,101,3,2,672.2
673,262,109,5,1,720.82
674,263,101,8,1,672.2
675,263,97,5,1,428.97
676,264,166,8,1,86.54
677,264,28,3,1,30.39
678,264,27,6,1,468.82
679,265,132,2,1,543.86
680,265,99,9,1,22.5
681,265,131,6,1,903.88
682,266,114,10,1,270.9
683,266,101,2,1,672.2
684,267,27,4,1,468.82
685,267,178,6,1,457.92
686,267,121,10,1,207.99
687,267,57,5,1,745.42
688,267,166,10,1,86.54
689,268,179,5,1,415.56
690,269,46,7,2,43.61
691,269,23,5,1,580.85
692,269,150,9,1,419.5
693,269,119,6,1,40.27
694,269,24,6,1,555.4
695,270,188,5,1,349.31
696,270,163,6,1,336.41
697,270,67,9,1,86.38
698,271,106,4,1,609.75
699,271,129,7,1,686.74
700,272,65,3,2,628.22
701,272,189,4,1,169.27
702,272,193,5,1,536.84
703,273,59,5,1,302.4
704,273,122,1,1,596.04
705,273,53,8,1,828.48
706,274,113,2,1,574.77
707,275,158,6,1,703.85
708,276,73,2,1,53.67
709,276,60,1,1,478.08
710,277,105,7,1,365.85
711,278,190,2,1,247.15
712,278,141,6,1,644.15
713,278,108,4,1,748.66
714,279,68,9,2,836.16
715,279,62,10,1,75.44
716,280,67,1,1,86.38
717,280,153,7,1,263.0
718,280,108,3,1,748.66
719,280,61,2,1,909.57
720,281,53,7,1,828.48
721,281,70,8,2,715.14
722,281,62,7,1,75.44
723,281,189,7,2,169.27
724,281,55,7,1,809.77
725,282,35,7,1,855.57
726,282,72,3,1,810.01
727,283,96,8,1,576.53
728,283,7,2,1,736.9
729,283,71,6,1,23.43
730,284,83,10,1,583.21
731,284,135,2,1,703.94
732,284,8,5,1,561.44
733,285,109,9,1,720.82
734,286,2,10,1,386.09
735,286,33,6,2,155.41
736,287,157,9,2,513.34
737,287,127,6,1,221.45
738,288,162,2,1,418.29
739,289,145,4,1,779.15
740,289,131,2,1,903.88
741,289,124,4,2,574.46
742,289,29,10,1,437.82
743,290,187,7,1,644.9
744,291,152,2,1,128.5
745,292,73,5,1,53.67
746,292,33,5,1,155.41
747,292,173,3,1,180.34
748,292,102,8,1,221.59
749,293,146,1,1,110.58
750,294,14,7,1,719.07
751,294,9,6,1,44.76
752,295,83,7,1,583.21
753,295,135,10,1,703.94
754,295,2,6,1,386.09
755,295,19,4,2,422.3
756,296,118,9,1,176.49
757,296,119,9,1,40.27
758,296,152,10,1,128.5
759,297,142,6,2,974.97
760,297,7,8,1,736.9
761,297,98,3,2,997.93
762,298,86,10,1,46.22
763,298,20,10,2,634.46
764,298,192,9,2,972.53
765,298,97,5,2,428.97
766,299,77,3,1,209.16
767,299,156,8,1,220.45
768,299,82,9,1,585.62
769,299,98,1,1,997.93
770,299,5,4,1,103.58
771,300,153,2,1,263.0
772,300,84,5,1,365.63
773,301,129,10,1,686.74
774,301,154,1,2,401.7
775,301,36,3,1,502.46
776,302,18,5,1,770.74
777,302,92,10,1,421.64
778,303,39,10,1,894.98
779,303,169,4,1,698.16
780,303,84,7,1,365.63
781,303,59,8,1,302.4
782,303,128,1,1,951.94
783,304,172,2,2,43.23
784,304,22,2,1,566.74
785,305,172,4,1,43.23
786,305,170,10,2,203.94
787,305,65,1,2,628.22
788,306,92,9,1,421.64
789,306,71,2,1,23.43
790,306,49,10,1,634.51
791,307,48,6,1,773.02
792,308,49,2,1,634.51
793,308,199,4,1,476.86
794,309,151,4,1,653.16
795,310,62,7,1,75.44
796,310,169,6,1,698.16
797,311,19,5,1,422.3
798,311,68,6,1,836.16
799,311,111,8,1,320.27
800,312,128,4,1,951.94
801,312,19,5,1,422.3
802,312,89,10,1,476.64
803,313,81,5,1,244.06
804,314,116,6,2,947.86
805,314,35,6,1,855.57
806,314,66,8,2,243.63
807,315,153,5,1,263.0
808,316,34,4,1,348.57
809,316,116,2,1,947.86
810,316,39,9,1,894.98
811,317,1,9,2,151.01
812,317,161,4,1,988.03
813,318,85,3,1,951.36
814,318,161,1,2,988.03
815,318,40,10,2,630.89
816,318,19,3,1,422.3
817,319,124,1,1,574.46
818,319,160,7,1,564.03
819,320,56,1,1,166.6
820,321,142,3,2,974.97
821,321,156,4,1,220.45
822,321,4,4,1,451.12
823,321,178,9,1,457.92
824,322,128,1,2,951.94
825,323,102,10,1,221.59
826,323,30,3,1,342.05
827,323,61,7,1,909.57
828,323,132,7,1,543.86
829,324,42,4,1,836.17
830,324,61,8,1,909.57
831,325,165,6,1,540.1
832,325,64,4,2,471.5
833,325,147,1,1,418.97
834,326,50,4,1,123.14
835,326,74,7,1,728.08
836,326,126,6,1,414.87
837,326,11,10,1,254.0
838,327,49,4,1,634.51
839,327,72,2,1,810.01
840,327,41,8,1,687.18
841,327,160,3,1,564.03
842,327,179,9,2,415.56
843,328,26,7,1,651.97
844,329,85,3,1,951.36
845,330,15,2,1,722.34
846,330,170,8,1,203.94
847,331,1,10,1,151.01
848,331,158,9,2,703.85
849,332,168,7,1,291.48
850,332,56,2,1,166.6
851,332,144,8,1,100.69
852,333,130,7,1,238.03
853,333,33,2,2,155.41
854,333,57,10,1,745.42
855,334,92,8,1,421.64
856,334,131,5,2,903.88
857,334,195,2,1,63.42
858,334,69,3,1,361.1
859,335,116,10,1,947.86
860,335,167,4,1,601.08
861,336,109,2,1,720.82
862,337,77,7,1,209.16
863,337,30,5,1,342.05
864,338,8,9,1,561.44
865,338,90,3,1,941.15
866,339,186,8,1,896.45
867,339,45,4,2,541.25
868,340,132,9,1,543.86
869,340,92,6,1,421.64
870,340,146,5,1,110.58
871,341,182,4,1,485.06
872,341,152,4,1,128.5
873,342,124,9,2,574.46
874,342,39,6,1,894.98
875,342,165,6,1,540.1
876,342,191,7,1,333.59
877,343,43,4,1,763.31
878,343,50,7,1,123.14
879,343,131,1,1,903.88
880,343,180,4,1,150.75
881,344,119,4,2,40.27
882,345,166,5,1,86.54
883,345,52,3,1,849.76
884,346,55,9,2,809.77
885,346,196,10,1,86.58
886,347,200,8,2,397.96
887,347,20,10,1,634.46
888,348,54,2,1,23.5
889,348,126,8,1,414.87
890,348,165,8,1,540.1
891,348,196,2,2,86.58
892,349,172,10,1,43.23
893,349,61,5,1,909.57
894,349,86,2,1,46.22
895,349,155,5,1,765.69
896,349,43,4,1,763.31
897,350,69,4,2,361.1
898,350,30,5,1,342.05
899,350,35,5,1,855.57
900,351,107,7,1,249.58
901,351,138,8,1,988.12
902,351,150,5,2,419.5
903,352,41,6,1,687.18
904,353,144,4,1,100.69
905,353,60,3,1,478.08
906,353,116,3,1,947.86
907,354,140,7,1,953.32
908,354,101,8,2,672.2
909,355,153,7,1,263.0
910,355,157,7,1,513.34
911,356,136,4,1,855.45
912,356,3,1,1,881.76
913,356,159,8,1,608.3
914,357,73,4,1,53.67
915,357,142,2,1,974.97
916,357,152,6,1,128.5
917,357,164,5,1,532.51
918,358,53,2,1,828.48
919,358,125,6,2,607.71
920,358,149,8,2,451.03
921,359,158,9,1,703.85
922,359,79,8,1,968.01
923,360,28,9,1,30.39
924,360,171,1,1,582.55
925,361,21,8,1,794.38
926,362,43,2,2,763.31
927,362,69,1,1,361.1
928,362,137,5,1,163.62
929,363,15,4,1,722.34
930,363,136,8,1,855.45
931,364,188,2,1,349.31
932,365,37,1,1,719.01
933,365,10,10,2,981.04
934,365,42,10,2,836.17
935,366,28,8,1,30.39
936,366,40,1,2,630.89
937,366,144,8,1,100.69
938,366,102,9,1,221.59
939,367,180,3,1,150.75
940,368,130,7,1,238.03
941,369,189,4,1,169.27
942,370,162,5,1,418.29
943,370,14,6,1,719.07
944,370,52,4,1,849.76
945,370,55,7,1,809.77
946,371,182,5,1,485.06
947,371,153,8,1,263.0
948,372,138,1,2,988.12
949,373,140,3,1,953.32
950,374,59,2,1,302.4
951,374,36,3,2,502.46
952,375,148,4,1,953.55
953,375,65,5,1,628.22
954,376,114,1,2,270.9
955,377,30,6,2,342.05
956,377,23,9,1,580.85
957,377,191,5,2,333.59
958,378,194,9,1,184.42
959,378,136,8,1,855.45
960,379,17,6,1,597.23
961,379,107,10,2,249.58
962,379,108,8,1,748.66
963,380,131,5,1,903.88
964,381,190,9,1,247.15
965,381,96,9,1,576.53
966,381,101,8,1,672.2
967,382,128,10,1,951.94
968,383,152,9,1,128.5
969,384,19,1,1,422.3
970,384,166,10,1,86.54
971,384,183,9,1,113.28
972,385,148,1,1,953.55
973,385,29,3,1,437.82
974,386,114,4,1,270.9
975,386,27,4,2,468.82
976,387,87,8,1,928.89
977,387,127,10,1,221.45
978,388,106,10,1,609.75
979,388,173,2,1,180.34
980,388,197,4,2,930.21
981,388,123,9,1,402.2
982,389,22,5,1,566.74
983,390,93,1,1,394.77
984,390,154,1,1,401.7
985,390,12,10,1,200.18
986,391,178,2,1,457.92
987,391,108,3,1,748.66
988,391,183,5,1,113.28
989,392,196,5,2,86.58
990,392,112,5,1,549.05
991,392,117,9,1,312.78
992,393,114,6,1,270.9
993,393,25,5,1,949.14
994,393,120,1,1,856.35
995,394,83,5,2,583.21
